policy,dataset,count,body_pos_m,body_ori_rad,global_root_m,wrist_pos_m,wrist_ori_rad,tracking_return,progress
bfm_zero,locomotion,80,0.05667619472369552,0.25304075982421637,3.090029053017497,0.08986848392523825,0.334161669947207,1.498464442762731,1.0
bfm_zero,manipulation,48,0.047538253905562065,0.23061404408266148,,0.08437630402234693,0.3750668962796529,1.5746558037084404,0.968938127090301
bfm_zero,ground,60,0.09719201164940992,0.40448707193136213,,0.1402265175556143,0.5170636810362339,0.70028275349214,0.5319748593841649
bfm_zero,dance,40,0.07322132298722864,0.3955298915505409,,0.13321163039654493,0.6545947238802909,1.243529980735139,0.9885375494071147
grit_v0_0_1,locomotion,80,0.031724696955643596,0.14678680952638387,0.39534731982275845,0.02801556105259806,0.23815290126949548,1.8378881380042908,1.0
grit_v0_0_1,manipulation,48,0.03842832986265421,0.15787497349083424,,0.038167995652959995,0.24726822040975094,1.7965345311305188,1.0
grit_v0_0_1,ground,60,0.11999010862782597,0.480509568999211,,0.12285806220024824,0.580850000679493,1.0997984708085882,0.732770910594293
grit_v0_0_1,dance,40,0.05181481204926967,0.2271960649639368,,0.05396832004189491,0.39152565225958824,1.5925346362635886,0.9798797854663055
heft,locomotion,80,0.03222705340012908,0.10199129884131253,0.40286889765411615,0.030604408867657185,0.11234802827239036,1.8966550460200675,1.0
heft,manipulation,48,0.03372823590567956,0.09754025206590693,,0.036306978397381805,0.10480951129769285,1.8787293986180533,0.9874456521739131
heft,ground,60,0.08924642285952965,0.31940049678087234,,0.09781935702388485,0.3943390890955925,1.4421048166457524,0.8638388785242396
heft,dance,40,0.04414981729350984,0.1489244932308793,,0.048621568270027636,0.17854335494339466,1.623468107553786,0.9019602742503399
holomotion,locomotion,80,0.03297294888179749,0.14500045422464608,0.8885666381567716,0.03019270347431302,0.21536484342068435,1.794695325053938,1.0
holomotion,manipulation,48,0.03850774401022742,0.17008793462688723,,0.036379670801882945,0.24589311548819145,1.718394527973414,0.9707107023411371
holomotion,ground,60,0.09857787073900302,0.4695669338107109,,0.11984379421919585,0.6094218422969182,1.0584842062754025,0.7196235079517053
holomotion,dance,40,0.039718959899619224,0.20239009112119674,,0.04681498571299016,0.32755808942019937,1.5866249165413637,0.9527052019760328
humanoid_gpt,locomotion,80,0.04271418794523925,0.14848976582288742,1.323306903988123,0.053121502068825065,0.18425698783248662,1.7862267517350265,0.9933937823834198
humanoid_gpt,manipulation,48,0.03477923688478768,0.1325638904236257,,0.04816364834550768,0.20341238969316086,1.8363450837505868,1.0
humanoid_gpt,ground,60,0.07207650902370612,0.23121794002751508,,0.08456664178520441,0.19537058199445406,0.793867762640629,0.5132241031877077
humanoid_gpt,dance,40,0.054716691141948104,0.23495655581355096,,0.08317943587899208,0.3575311705470085,1.1928953956741268,0.7551149644399702
mimic_lite_ppo,locomotion,80,0.031524282228201625,0.09733167891390622,0.2545467473566532,0.0332515420159325,0.11686468627303839,1.8996171646938715,1.0
mimic_lite_ppo,manipulation,48,0.03432305137782047,0.12065960451339681,,0.038660274197657905,0.15315783210098743,1.7719915252125584,0.9523394648829431
mimic_lite_ppo,ground,60,0.11108310054987669,0.4192931038637956,,0.1369642576823632,0.505366267512242,1.0831859157145352,0.741889283221896
mimic_lite_ppo,dance,40,0.05226112427189946,0.19975797235965728,,0.06888078590855003,0.27735318429768085,1.4709091861788512,0.878476071581234
mimic_lite_roa,locomotion,80,0.02921662963926792,0.09471683865413069,0.2609265518374741,0.03160998402163386,0.1408570284023881,1.8863280650937693,0.9868730393711889
mimic_lite_roa,manipulation,48,0.03473550845713665,0.11795718277183671,,0.03480758847823987,0.16635816295941672,1.7662443910809091,0.9452717391304347
mimic_lite_roa,ground,60,0.1320075748488307,0.5101110982398193,,0.14753994004180035,0.6183153947194417,1.0015420701814877,0.69199128611705
mimic_lite_roa,dance,40,0.04775666315108538,0.1815790344029665,,0.0609635129570961,0.2671830903738737,0.9918594998008791,0.5733978851206764
scalebfm_m,locomotion,80,0.036559921340085566,0.13137181671336293,0.9622803730890155,0.038962522009387615,0.20062428452074527,1.8406289534174018,1.0
scalebfm_m,manipulation,48,0.036032873399866126,0.13135259365662932,,0.035693153350924454,0.19913625686119,1.8404383944355507,1.0
scalebfm_m,ground,60,0.08968574311584235,0.313242011765639,,0.09933360827465852,0.40633580709497136,1.5588924784030236,0.9419758015436691
scalebfm_m,dance,40,0.049429416097700594,0.20983507260680198,,0.0546065236441791,0.3777401201426983,1.619300421175149,0.9875262973352033
scalebfm_xl,locomotion,80,0.038214038615114986,0.14794636871665717,0.6327748152893037,0.054151361947879194,0.1800857807509601,1.8260719761967181,1.0
