policy,wrist_pos_mm
bfm_zero,67.62487476879274
heft,21.37875400475849
holomotion,25.365854455401745
humanoid_gpt,42.17118190161206
mimic_lite_base,45.13086808557335
mimic_lite_huge,35.616267603997386
mimic_lite_small,53.20709346583831
scalebfm_m,34.87710459754729
scalebfm_xl,36.60410765428187
sonic_g1,29.18248344549205
sonic_low_latency,34.48826810373437
sonic_v1_1,33.380677249956456
teleopit,50.95656586719617
twist2,56.199909570463255
g1_roa_huge_student_20260814,31.394126542779706
